年月,來源洲,臺灣港,目的港,重量
Jan-22,未知,TWHUN,CNSHA,13620000
Jan-22,未知,TWHUN,CNSHA,405005000
Jan-22,未知,TWHUN,HKHKG,360003500
Jan-22,未知,TWHUN,HKHKG,1010
Jan-22,未知,TWHUN,HKHKG,12030000
Jan-22,未知,TWHUN,JPOSA,45002500
Jan-22,未知,TWHUN,JPOSA,2910000
Jan-22,未知,TWHUN,KRPUS,12605000
Jan-22,未知,TWHUN,KRPUS,225004000
Jan-22,未知,TWKEL,CNSHA,3456614.08
Jan-22,未知,TWKEL,CNSHA,51.9
Jan-22,未知,TWKEL,CNSHA,35903.76
Jan-22,未知,TWKEL,CNSHA,41883.34
Jan-22,未知,TWKEL,CNSHA,1602484
Jan-22,未知,TWKEL,CNSHA,1434.76
Jan-22,未知,TWKEL,CNSHA,10591714.45
Jan-22,未知,TWKEL,CNSHA,432
Jan-22,未知,TWKEL,CNSHA,994614.12
Jan-22,未知,TWKEL,CNSHA,7455092.4355999995
Jan-22,未知,TWKEL,CNSHA,220183.48
Jan-22,未知,TWKEL,CNSHA,564367.7827
Jan-22,未知,TWKEL,CNSHA,135442.78
Jan-22,未知,TWKEL,CNSHA,67805.53
Jan-22,未知,TWKEL,CNSHA,7583109.32
Jan-22,未知,TWKEL,CNSHA,160.58
Jan-22,未知,TWKEL,CNSHA,17269966.16
Jan-22,未知,TWKEL,CNSHA,659714.69
Jan-22,未知,TWKEL,CNSHA,41278.686
Jan-22,未知,TWKEL,CNSHA,611205.92
Jan-22,未知,TWKEL,CNSHA,8339
Jan-22,未知,TWKEL,CNSHA,41066
Jan-22,未知,TWKEL,CNSHA,1858667.636
Jan-22,未知,TWKEL,CNSHA,14666791.57
Jan-22,未知,TWKEL,CNSHA,5859975.297
Jan-22,未知,TWKEL,CNSHA,58810.28
Jan-22,未知,TWKEL,CNSHA,4559912.372
Jan-22,未知,TWKEL,CNSHA,40619.13
Jan-22,未知,TWKEL,CNSHA,6607.9
Jan-22,未知,TWKEL,CNSHA,121432.28
Jan-22,未知,TWKEL,CNSHA,584612.49
Jan-22,未知,TWKEL,CNSHA,10036688.606800001
Jan-22,未知,TWKEL,CNSHA,688713.626
Jan-22,未知,TWKEL,CNSHA,808577.12
Jan-22,未知,TWKEL,CNSHA,7753.75
Jan-22,未知,TWKEL,CNSHA,612732.0036
Jan-22,未知,TWKEL,CNSHA,4295.81
Jan-22,未知,TWKEL,CNSHA,118464.6
Jan-22,未知,TWKEL,CNSHA,52671.1815
Jan-22,未知,TWKEL,CNSHA,2458890.74
Jan-22,未知,TWKEL,CNSHA,1253293.672
Jan-22,未知,TWKEL,CNSHA,25398.19
Jan-22,未知,TWKEL,CNSHA,1375298.69
Jan-22,未知,TWKEL,CNSHA,494158.79
