年月,台中港,基隆港,花蓮港,高雄港
2022/01,7163358926.831487,1632497689.67558,1076181010.0,12290375607.454054
2022/02,4484980100.83561,1562774748.897169,29890168.0,9297395976.994
2022/03,3991275724.458202,1657131964.899913,795132029.04,10018826439.898201
2022/04,4200036842.050684,1251744540.256529,663631904.0,9856145282.914629
2022/05,3736823621.338326,1214253041.610537,1132828519.0,9046764455.404358
2022/06,5466066440.6714,1095960540.303077,786066285.0,9270694914.188238
2022/07,5468038312.795635,1238724033.5131059,1363317753.21,12827432039.279951
2022/08,5423837538.228393,3175124958.999177,379858412.0,11510037074.545654
2022/09,3971504288.76279,1003964084.022568,324200190.0,9750965467.165443
2022/10,4279227826.854002,1366845989.251035,3393438.4,7916469634.390681
2022/11,5801817280.993464,1786819659.672868,1288873001.266,12570240147.09305
2022/12,7883960801.612516,1338925984.253264,1065153219.0,10133964428.616089
2023/01,4023106595.817546,1090628341.247672,857192828.0,6344784567.603931
2023/02,4260961115.133649,1507532615.9029331,940224741.73,10452099422.593012
2023/03,7026289649.929534,2000726944.846643,158669548.0,14592425646.293724
2023/04,3830880995.343598,1149430733.037908,606048113.0,6094937379.898735
2023/05,6609793437.637063,2004469999.189389,119334.0,11414704177.375866
2023/06,4471921626.246801,1370455391.217212,872369969.8,10879761674.888168
2023/07,3361027302.563735,1262027628.320468,7409258.0,6752041176.763885
2023/08,9725061968.32143,1110190965.81131,13018288.0,11342290327.036686
2023/09,6826052370.209956,1581347027.57853,11550375.151999999,7868320192.785744
2023/10,6595305408.825638,1509697206.004996,6820828.0,9774489599.413765
2023/11,7913062327.925638,1264201998.748602,9235882.0,11222406745.230354
2023/12,7795015161.789383,1998657249.728783,22162146.2,10006162480.308046
